song_id,artist,title,lyrics,emotion
341,Taylor Swift,Me!,"
But one of these things is not like the others

Like a rainbow with all of the colors

Baby doll, when it comes to a lover

I promise that you'll never find another like


Me-e-e, ooh-ooh-ooh-ooh

I'm the only one of me

Baby, that's the fun of me

Eeh-eeh-eeh, ooh-ooh-ooh-ooh

You're the only one of you

Baby, that's the fun of you

And I promise that nobody's gonna love you like me-e-e",Happiness
83,Major Lazer,Lean On,"
Blow a kiss, fire a gun

We need someone to lean on

Blow a kiss, fire a gun

All we need is somebody to lean on!

Blow a kiss, fire a gun

We need someone to lean on

Blow a kiss, fire a gun

All we need is somebody to lean on!


But what will we do when we get old?

Will we walk down the same road?

Will you be there by my side?

Standing strong as the waves roll over

But the nights are long,

Longing for you to come home

All around the wind blows

We would only hold on to let go",Surprise
667,Bad Bunny,Efecto,"
Baby, la nota ya está haciendo efecto

Mi mundo está jodío' y me siento perfecto

Porque estás tú, aquí, moviéndote así, no pare'

Baby, tú eres mi droga, esta noche no le baje'

Porque la nota ya está haciendo efecto

Mi mundo está jodío' y me siento perfecto

Porque estás tú, aquí, moviéndote así, no pare'

Baby, tú eres mi droga, esta noche no le baje'


Esta no, esta sí

Esta no, esta sí

Esta no, esta sí

Esta no, esta sí",r
226,Tyga,Taste,"
Taste, taste, she can get a taste

Taste, taste, she can get a taste

Taste, taste, fuck what a nigga say

It's all the same, like Mary-Kate

Taste, taste, she can get a taste

Taste, taste, let you get a taste

Taste, taste, do you love the taste?

Yeah that's cool but he ain't like me


Lotta girls like me, niggas wanna fight me

Nigga get yo ass checked like a fuckin' Nike

Me not icey, that's unlikely

And she gon' suck me like a fuckin' Hi-C

Aw, chains on the neck for the whole team

And I feel like Gucci with the ice cream

And my bitch want the Fenty, not the Maybelline

I'm the black JB the way these bitches scream

Make these bitches scream

Pretty little thing

Like my nigga A.E, say, yadadamean",Anger
333,Dan + Shay,Speechless,"
It's always on a night like tonight

I think that you can read my mind

'Cause when you look at me with those eyes


I'm speechless

Staring at you, standing there in that dress

What it's doing to me, ain't a secret

'Cause watching you is all that I can do

And I'm speechless

You already know that you're my weakness

After all this time I'm just as nervous

Every time you walk into the room

I'm speechless",Sadness
292,XXXTentacion,Changes,"
Girl, you're making it hard for me

Girl, you're making it hard for me

Girl, you're making it hard for me, uh

Girl, you're making it hard for me

Girl, you're making it hard for me

Girl, you're making it hard for me


Mmm, baby, I don't understand this

You're changing, I can't stand it

My heart can't take this damage

And the way I feel, can't stand it",
107,Imagine Dragons,Believer,"
I was broken from a young age

Taking my sulkin to the masses

Write down my poems for the few

That looked at me took to me, shook to me, feeling me

Singing from heart ache from the pain

Take up my message from the veins

Speaking my lesson from the brain

Seeing the beauty through the...


Pain!

You made me a, you made me a believer, believer

Pain!

You break me down, you build me up, believer, believer

Pain!

I let the bullets fly, oh let them rain

My life, my love, my drive, it came from...

Pain!

You made me a, you made me a believer, believer",
846,Flo Milli,Never Lose Me,"
Tell mе you don't never wanna lose me

Tell me you don't never wanna lose me

Tell me you don't never wanna lose me

Tell me you don't never wanna lose me

Tell me you don't never wanna lose me

Tell me you don't never wanna lose me (Lose me)

Tell me you don't never—


Keep me a Haitian, I love me a Zoe

I've been thinkin' 'bout you on the road

We havin' rich sex on a boat

He hit it back to back like it's dope (Like it's dope)

How you gon' prove you could treat me right?

You stole my heart like a thief in the night

Yeah, he my man, he was never your type

If you try me, ho, it's on sight

He totin' the Uzi, but he actin' real bougie (Bougie, yeah)

I like to fight over dick, ho, don't get hit with the two-piece (Two-piece)

You know you can call if you need me

Tell me you ain't never ever leavin' (No)

When I suck it, I look in your eyes (Yeah)

You better fuck me like you mean it (Fuck me like you mean it)",
145,Demi Lovato,Sorry Not Sorry,"
Now payback is a bad bitch

And baby, I'm the baddest

You fuckin' with a savage

Can't have this, can't have this (ahhhh)

And it'd be nice of me to take it easy on ya, but nahhhh


Baby, I'm sorry (I'm not sorry)

Baby, I'm sorry (I'm not sorry)

Being so bad got me feeling so good

Showing you up like I knew that I would

Baby, I'm sorry (I'm not sorry)

Baby, I'm sorry (I'm not sorry)

Feeling inspired 'cause the tables have turned

Yeah, I'm on fire and I know that it burns",
153,Kodak Black,Tunnel Vision,"
I jumped out of that Wraith, Kodak bought a Wraith

I get any girl I want, any girl I want

She want me to save the day, but I ain't got a cape

She wanna see me everyday, she wanna be my bae

That money make me cum it made me fornicate

Uh, I'm the shit, I need some toilet paper

Follow my player rules then we gon' be okay

On the real, I need a bih' who gon' cooperate


Lil Kodak they don't like to see you winnin'

They wanna see you in the penitentiary

I need me a lil' baby who gon' listen

Girl I don't wanna be the one you iggin'

My mama told me, ""Boy make a decision""

Right now I gotta keep a tunnel vision

I need me a lil' baby who gon' listen

Girl I don't wanna be the one you iggin'

Lil Kodak they don't like to see you winnin'

They wanna see you in the penitentiary

I need me a lil' baby who gon' listen

Girl I don't wanna be the one you iggin'

My mama told me, ""Boy make a decision""

Right now I gotta keep a tunnel vision

They sendin' all my homies on a mission

And I ain't tryna miss out on these millions",
