duplicate_index,file1,file2,title,artist
55,data1.csv,data2.csv,2 Phones,Kevin Gates
38,data2.csv,data3.csv,Same Old Love,Selena Gomez
244,data3.csv,data4.csv,In My Blood,Shawn Mendes
165,data4.csv,data5.csv,Praying,Kesha
32,data5.csv,data6.csv,Broccoli,DRAM
799,data6.csv,data7.csv,Lose Control,Teddy Swims
285,data7.csv,data1.csv,Get Along,Kenny Chesney
593,data1.csv,data2.csv,Single Saturday Night,Cole Swindell
460,data2.csv,data3.csv,Godzilla,Eminem
354,data3.csv,data4.csv,The Git Up,Blanco Brown
514,data4.csv,data5.csv,Heat Waves,Glass Animals
476,data5.csv,data6.csv,The Woo,Pop Smoke
710,data6.csv,data7.csv,You Proof,Morgan Wallen
604,data7.csv,data1.csv,First Class,Jack Harlow
170,data1.csv,data2.csv,What Ifs,Kane Brown
77,data2.csv,data3.csv,Wildest Dreams,Taylor Swift
572,data3.csv,data4.csv,Anyone,Justin Bieber
771,data4.csv,data5.csv,Bebe Dame,Fuerza Regida
156,data5.csv,data6.csv,Heathens,Twenty One Pilots
873,data6.csv,data7.csv,Pour Me a Drink,Post Malone
628,data7.csv,data1.csv,One Right Now,Post Malone
79,data1.csv,data2.csv,On My Mind,Ellie Goulding
15,data2.csv,data3.csv,Work from Home,Fifth Harmony
190,data3.csv,data4.csv,Treat You Better,Shawn Mendes
46,data4.csv,data5.csv,Don't Mind,Kent Jones
596,data5.csv,data6.csv,Tombstone,Rod Wave
461,data6.csv,data7.csv,Bandit,Juice Wrld
225,data7.csv,data1.csv,Bad at Love,Halsey
262,data1.csv,data2.csv,Sorry Not Sorry,Demi Lovato
64,data2.csv,data3.csv,Close,Nick Jonas
413,data3.csv,data4.csv,Savage,Megan Thee Stallion
361,data4.csv,data5.csv,Beer Never Broke My Heart,Luke Combs
309,data5.csv,data6.csv,High Hopes,Panic! at the Disco
561,data6.csv,data7.csv,Leave Before You Love Me,Marshmello
554,data7.csv,data1.csv,Bang!,AJR
895,data1.csv,data2.csv,The Painter,Cody Johnson
331,data2.csv,data3.csv,Youngblood,5 Seconds of Summer
245,data3.csv,data4.csv,All the Stars,Kendrick Lamar
195,data4.csv,data5.csv,What Lovers Do,Maroon 5
668,data5.csv,data6.csv,Rock and a Hard Place,Bailey Zimmerman
490,data6.csv,data7.csv,Wishing Well,Juice Wrld
577,data7.csv,data1.csv,No More Parties,Coi Leray
130,data1.csv,data2.csv,Slow Hands,Niall Horan
680,data2.csv,data3.csv,Take My Name,Parmalee
474,data3.csv,data4.csv,The Bigger Picture,Lil Baby
2,data4.csv,data5.csv,One Dance,Drake
842,data5.csv,data6.csv,Rich Baby Daddy,Drake
676,data6.csv,data7.csv,Después de la Playa,Bad Bunny
98,data7.csv,data1.csv,Perfect,One Direction
249,data1.csv,data2.csv,This Is America,Childish Gambino
40,data2.csv,data3.csv,Like I'm Gonna Lose You,Meghan Trainor
614,data3.csv,data4.csv,Industry Baby,Lil Nas X
525,data4.csv,data5.csv,Fancy Like,Walker Hayes
553,data5.csv,data6.csv,Willow,Taylor Swift
447,data6.csv,data7.csv,For the Night,Pop Smoke
110,data7.csv,data1.csv,I'm the One,DJ Khaled
415,data1.csv,data2.csv,Intentions,Justin Bieber
679,data2.csv,data3.csv,Broadway Girls,Lil Durk
422,data3.csv,data4.csv,WAP,Cardi B
297,data4.csv,data5.csv,Mi Gente,J Balvin
14,data5.csv,data6.csv,I Took a Pill in Ibiza,Mike Posner
388,data6.csv,data7.csv,Cash Shit,Megan Thee Stallion
719,data7.csv,data1.csv,Favorite Song,Toosii
472,data1.csv,data2.csv,Emotionally Scarred,Lil Baby
336,data2.csv,data3.csv,Money,Cardi B
200,data3.csv,data4.csv,Perfect,Ed Sheeran
890,data4.csv,data5.csv,Exes,Tate McRae
770,data5.csv,data6.csv,Where She Goes,Bad Bunny
588,data6.csv,data7.csv,We're Good,Dua Lipa
878,data7.csv,data1.csv,High Road,Koe Wetzel
610,data1.csv,data2.csv,About Damn Time,Lizzo
299,data2.csv,data3.csv,Old Town Road,Lil Nas X
681,data3.csv,data4.csv,What Happened to Virgil,Lil Durk
677,data4.csv,data5.csv,You Should Probably Leave,Chris Stapleton
816,data5.csv,data6.csv,"Good Luck, Babe!",Chappell Roan
227,data6.csv,data7.csv,Let You Down,NF
831,data7.csv,data1.csv,Miles on It,Marshmello
576,data1.csv,data2.csv,All I Want for Christmas Is You,Mariah Carey
810,data2.csv,data3.csv,Cruel Summer,Taylor Swift
616,data3.csv,data4.csv,Need to Know,Doja Cat
72,data4.csv,data5.csv,Say It,Tory Lanez
575,data5.csv,data6.csv,Cry Baby,Megan Thee Stallion
675,data6.csv,data7.csv,Party,Bad Bunny
311,data7.csv,data1.csv,Truth Hurts,Lizzo
24,data1.csv,data2.csv,Send My Love (To Your New Lover),Adele
386,data2.csv,data3.csv,Love Lies,Khalid
558,data3.csv,data4.csv,Essence,Wizkid
194,data4.csv,data5.csv,Havana,Camila Cabello
340,data5.csv,data6.csv,A Lot,21 Savage
229,data6.csv,data7.csv,Fefe,6ix9ine
470,data7.csv,data1.csv,Hot,Young Thug
507,data1.csv,data2.csv,Montero (Call Me by Your Name),Lil Nas X
595,data2.csv,data3.csv,Throat Baby (Go Baby),BRS Kash
419,data3.csv,data4.csv,Before You Go,Lewis Capaldi
379,data4.csv,data5.csv,Rumor,Lee Brice
788,data5.csv,data6.csv,PRC,Peso Pluma
160,data6.csv,data7.csv,DNA,Kendrick Lamar
790,data7.csv,data1.csv,Ain't That Some,Morgan Wallen
122,data1.csv,data2.csv,Bodak Yellow,Cardi B
454,data2.csv,data3.csv,If the World Was Ending,JP Saxe
106,data3.csv,data4.csv,Body Like a Back Road,Sam Hunt
557,data4.csv,data5.csv,Every Chance I Get,DJ Khaled
405,data5.csv,data6.csv,Life Is Good,Future
258,data6.csv,data7.csv,Wolves,Selena Gomez
566,data7.csv,data1.csv,What's Next,Drake
149,data1.csv,data2.csv,Thunder,Imagine Dragons
734,data2.csv,data3.csv,Love You Anyway,Luke Combs
23,data3.csv,data4.csv,Cold Water,Major Lazer
832,data4.csv,data5.csv,I Can Do It with a Broken Heart,Taylor Swift
87,data5.csv,data6.csv,Back to Sleep,Chris Brown
131,data6.csv,data7.csv,Love on the Brain,Rihanna
332,data7.csv,data1.csv,Money in the Grave,Drake
533,data1.csv,data2.csv,Holy,Justin Bieber
126,data2.csv,data3.csv,iSpy,Kyle
