song_id,artist,title,lyrics,emotion
1,Justin Bieber,Love Yourself,"
My mama don't like you and she likes everyone

And I never like to admit that I was wrong

And I've been so caught up in my job,

Didn't see what's going on

But now I know, I'm better sleeping on my own


'Cause if you like the way you look that much

Oh baby you should go and love yourself

And if you think that I'm still holdin' on to somethin'

You should go and love yourself",
2,Drake,One Dance,"
That's why I need a one dance

Got a Hennessy in my hand

One more time 'fore I go

Higher powers taking a hold on me

I need a one dance

Got a Hennessy in my hand

One more time 'fore I go

Higher powers taking a hold on me


Baby I like your style",
3,Rihanna,Work,"
Dry me ah desert him

Nuh time to have you lurking

Him ah go act like he nah like it

You know I dealt with you the nicest

Nuh body touch me in the righteous

Nuh botha, text me in a crisis

I believed all of your dreams, adoration

You took my heart and my keys and my patience

You took my heart on my sleeve for decoration

You mistaken my love I brought for you for foundation

All that I wanted from you was to give me

Something that I never had

Something that you've never seen

Something that you've never been!

Mmmmm!

But I wake up and act like nothing's wrong

Just get ready fi...


Work, work, work, work, work, work

He said me haffi

Work, work, work, work, work, work!

He see me do mi

Dirt, dirt, dirt, dirt, dirt, dirt!

So me put in

Work, work, work, work, work, work

Ner ner ner ner ner ner!

When you a guh ner ner ner ner ner ner!

Before the tables turn turn turn turn turn turn!",
4,Twenty One Pilots,Stressed Out,"
My name's Blurryface and I care what you think

My name's Blurryface and I care what you think


Wish we could turn back time to the good old days

When our momma sang us to sleep but now we're stressed out

Wish we could turn back time to the good old days

When our momma sang us to sleep but now we're stressed out",
5,Desiigner,Panda,"
Panda, Panda

Panda, Panda, Panda, Panda, Panda


I got broads in Atlanta

Twisting dope, lean, and the Fanta

Credit cards and the scammers

Hitting off licks in the bando

Black X6, Phantom

White X6 looks like a panda

Going out like I'm Montana

Hundred killers, hundred hammers

Black X6, Phantom

White X6, panda

Pockets swole, Danny

Selling bar, candy

Man I'm the macho like Randy

The choppa go Oscar for Grammy

Bitch nigga pull up ya panty

Hope you killas understand me",
6,Adele,Hello,"
There's such a difference between us

And a million miles


Hello from the other side

I must've called a thousand times 

To tell you I'm sorry

For everything that I've done

But when I call you never 

Seem to be home",
7,The Chainsmokers,Don't Let Me Down,"
I need you, I need you, I need you right now

Yeah, I need you right now

So don't let me, don't let me, don't let me down

I think I'm losing my mind now

It's in my head, darling, I hope

That you'll be here, when I need you the most

So don't let me, don't let me, don't let me down

D-don't let me down


Don't let me down

Don't let me down, down, down

Don't let me down, don't let me down, down, down",
8,Justin Timberlake,Can't Stop the Feeling!,"
Under the lights when everything goes

Nowhere to hide when I'm getting you close

When we move, well, you already know

So just imagine, just imagine, just imagine

Nothing I can see but you when you dance, dance, dance

A feeling good, good, creeping up on you

So just dance, dance, dance, come on

All those things I should do to you

But you dance, dance, dance

And ain't nobody leaving soon, so keep dancing


I can't stop the feeling

So just dance, dance, dance

I can't stop the feeling

So just dance, dance, dance, come on",
9,The Chainsmokers,Closer,"
So baby pull me closer in the backseat of your Rover

That I know you can't afford

Bite that tattoo on your shoulder

Pull the sheets right off the corner

Of the mattress that you stole

From your roommate back in Boulder

We ain't ever getting older


We ain't ever getting older

We ain't ever getting older",
10,Sia,Cheap Thrills,"
Baby I don't need dollar bills to have fun tonight

(I love cheap thrills)

Baby I don't need dollar bills to have fun tonight

(I love cheap thrills)

But I don't need no money

As long as I can feel the beat

I don't need no money

As long as I keep dancing


Come on, come on, turn the radio on

It's Saturday and I won't be long

Gotta paint my nails, put my high heels on

It's Saturday and I won't be long ",
11,Lukas Graham,7 Years,"
Once I was eleven years old my daddy told me

Go get yourself a wife or you'll be lonely

Once I was eleven years old


I always had that dream like my daddy before me

So I started writing songs, I started writing stories

Something about the glory, just always seemed to bore me

Cause only those I really love will ever really know me",
12,Rihanna,Needed Me,"
But baby, don't get it twisted

You was just another nigga on the hit list

Tryna fix your inner issues with a bad bitch

Didn't they tell you that I was a savage?

Fuck your white horse and ya carriage

Bet you never could imagine

Never told you you could have it


You needed me

Oooh, you needed me

To feel a little more, and give a little less

Know you hate to confess

But baby oooh, you needed me",
13,Flo Rida,My House,"
Sometimes you gotta stay in

And you know where I live

Yeah, you know what we is

Sometimes you gotta stay in, in


Welcome to my house

Baby take control now

We can't even slow down

We don't have to go out

Welcome to my house

Play that music too loud

Show me what you do now

We don't have to go out

Welcome to my house

Welcome to my house",
14,Mike Posner,I Took a Pill in Ibiza,"
But you don't wanna be high like me

Never really knowing why like me

You don't ever wanna step off that roller coaster

And be all alone

You don't wanna ride the bus like this

Never knowing who to trust like this

You don't wanna be stuck up on that stage singing

Stuck up on that stage singing

All I know are sad songs, sad songs

Darling, all I know are sad songs, sad songs


I'm just a singer who already blew his shot

I get along with old timers

Cause my name's a reminder of a pop song people forgot

And I can't keep a girl, no

Cause as soon as the sun comes up

I cut 'em all loose and work's my excuse

But the truth is I can't open up",
15,Fifth Harmony,Work from Home,"I know you're always on the night shift

But I can't stand these nights alone

And I don't need no explanation

Cause baby, you're the boss at home


You don't gotta go to work, work, work, work

Work, work, work, 

But you gotta put in work, work, work, work

Work, work, work, 

You don't gotta go to work, work, work, work

Work, work, work, 

Let my body do the work, work, work, work

Work, work, work, 

We can work from home, oh, oh, oh-oh

We can work from home, oh, oh, oh-oh",
16,Calvin Harris,This Is What You Came For,"
Baby, this is what you came for

Lightning strikes every time she moves

And everybody's watchin' her

But she's looking at you, oh, oh

You, oh, oh, you, oh, oh

You, oh, oh, you, oh, oh

You, oh, oh, oh, oh


You, oh, oh, you, oh, oh

You, oh, oh, you, oh, oh

You, oh, oh, you, oh, oh

Oh, oh",
17,DNCE,Cake by the Ocean,"
Talk to me, baby

I'm going blind for this sweet sweet craving, whoa-oh

Let's lose our minds and go fucking crazy

I-I-I-I-I-I keep on hoping we'll eat cake by the ocean

Walk for me, baby

I'll be Didd and you'll be Naomi, whoa-oh

Let's lose our minds and go fucking crazy

I-I-I-I-I-I keep on hoping we'll eat cake by the ocean


God damn

See you licking frosting from your own hands

Want another taste, I'm begging, yes ma'am

I'm tired of all this candy on the dry land, dry land, oh",
19,Twenty One Pilots,Ride,"
Oh Oh Ohhh Oh Oh Ohhh I'm falling

So I'm taking my time on my ride

Oh Oh Ohhh I'm falling

So I'm taking my time on my ride

Taking my time on my ride


""I'd die for you,"" that's easy to say

We have a list of people that we would take

A bullet for them, a bullet for you

A bullet for everybody in this room

But I don't seem to see many bullets coming through

See many bullets coming through

Metaphorically I'm the man

But literally I don't know what I'd do

""I'd live for you,"" and that's hard to do

Even harder to say when you know it's not true

Even harder to write when you know that tonight

There were people back home which are talking to you

But then you ignore them still

All these questions they're forming 

Like ""who would you live for?"" ""Who would you die for?"" 

And ""would you ever kill?"" ",
21,Shawn Mendes,Stitches,"
You watch me bleed until I can't breathe, shaking

Falling onto my knees

And now that I'm without your kisses

I'll be needing stitches


Tripping over myself, aching

Begging you to come help

And now that I'm without your kisses

I'll be needing stitches",
22,Drake,Hotline Bling,"
Ever since I left the city you

Got a reputation for yourself now

Everybody knows and I feel left out

Girl you got me down, you got me stressed out

Cause ever since I left the city, you

Started wearing less and goin' out more

Glasses of champagne out on the dance floor

Hangin' with some girls I've never seen before


You used to call me on my cell phone

Late night when you need my love

Call me on my cell phone

Late night when you need my love

I know when that hotline bling

That can only mean one thing

I know when that hotline bling

That can only mean one thing",
23,Major Lazer,Cold Water,"
I won't let go

I'll be your lifeline tonight

I won't let go

I'll be your lifeline tonight


'Cause we all get lost sometimes, you know?

It's how we learn and how we grow

And I wanna lay with you 'til I'm old

You shouldn't be fighting on your own",
24,Adele,Send My Love (To Your New Lover),"
I'm giving you up

I've forgiven it all

You set me free


Send my love to your new lover

Treat her better

We've gotta let go of all of our ghosts

We both know we ain't kids no more

Send my love to your new lover

Treat her better

We've gotta let go of all of our ghosts

We both know we ain't kids no more",
25,The Chainsmokers,Roses,"
Deep in my bones, I can feel you

Take me back to a time only we knew, hideaway

We could waste the night with an old film

Smoke a little weed on the couch in the back room, hideaway

Say you'll never let me go

Say you'll never let me go


Ahh, ahh, ahh

Ahh, ahh, ahh

Ahh, ahh, ahh

Say you'll never let me go

Say you'll never let me go

Say you'll never let me go

Ahh-ahh, ahh-ahh

Say you'll never let me go",
26,Shawn Mendes,Treat You Better,"
I know I can treat you better than he can 

And any girl like you deserves a gentleman 

Tell me why are we wasting time 

On all your wasted crying

When you should be with me instead 

I know I can treat you better 

Better than he can


I'll stop time for you 

The second you say you'd like me too 

I just wanna give you the loving that you're missing 

Baby just to wake up with you 

We'll be everything I need and this could be so different 

Tell me what you want to do",
27,Drake,Too Good,"
Yeah, these days I don't know how to talk to you

I don't know how to be there when you need me

It feels like the only time you see me

Is when you turn your head to the side and look at me differently


Yeah, and last night I think I lost my patience

Last night, I got high as the expectations

Last night, I came to a realization

And I hope you can take it

I hope you can take it, oh",
28,Future,Low Life,"
I turn the Ritz into a poor house

It's like eviction number four now

Go 'head and ash it on the floor now

Girl go ahead and show me how you go down

And I feel my whole body peaking

And I'm fucking anybody with they legs wide

Getting faded with some bitches from the West Side

East coast, nigga repping North Side

Never waste a hoe's time (Freebands)

Bitch, I'm on my own time

Fuck a nigga co-sign

Always change my number and my phone line

Baby girl, I don't lie

Used to have no money for a crib

Now my room service bill cost your whole lot

If they try to stunt me, I go all out military

I'm camo'ed all out, like I'm in the military

I free up all my niggas, locked up in the penitentiary


Cause I'm always repping for that low life

Repping for that low life turn up

Low life, low life, low life

Know I'm repping for that low, low life

Representing, I'm representing, representing

Said I'm repping for that low life

Low life, low life, low life, low life

I'm representing for that low life

Said I'm repping for that low life

I'm repping, that's repping, I'm repping

Low life, low life, low life

Rep, rep, rep, rep, rep, rep, rep

Woo, woo, woo, woo

Yeah",
29,Justin Bieber,What Do You Mean?,"
You're so indecisive of what I'm saying

Trying to catch the beat, make up your heart

Don't know if you're happy or complaining

Don't want for us to end, where do I start?


First you wanna go to the left then you wanna turn right

Wanna argue all day, make love all night

First you're up then you're down and then between

Oh I really wanna know",
32,DRAM,Broccoli,"
In the middle of the party bitch get off me

In the cut I'm rolling up my broccoli

Ya I know your baby mama fond of me

All she want to do is smoke that broccoli

Whispered in my ear she trying to leave with me

Said that I can get that pussy easily

Said that I can hit that shit so greasily

I'm a dirty dog I did it sleazily


Ain't no tellin' what I'm finna be on

I'm beyond all that fuck shit

Ain't no tellin' what I'm finna be on

I'm beyond all that fuck shit",
33,Bryson Tiller,Don't,"
Don't


Girl, said he keeps on playing games and his loving ain't the same

I don't know what to say-ay but

What a shame

If you were mine you would not get the same

If you were mine you would top everything

Suicide in the drop switching lanes

And that thang so fire baby no propane

Got good pussy girl can I be frank

To keep it 100 girl I ain't no saint

But he the only reason that I'm feeling this way

Giving you the world baby when you get space

Pen game get me laid, baby that's penetrate

Oh baby",
35,Drake,Jumpman,"
Jumpman, Jumpman, Jumpman

Jumpman, Jumpman, Jumpman

I just seen the jet take off they up to something

Them boys just not bluffing them boys just not bluffing

Jumpman, Jumpman, Jumpman, them boys up to something

She was trying join the team I told her wait

Chicken wings and fries we don't go on dates

Nobu Nobu Nobu Nobu Nobu nobu

I just throwed a private dinner in LA

Trapping is a hobby thats the way for me

Man they coming fast they never getting sleep

I, I just had to buy another safe

Bentley Spurs and Phantoms Jordan Fadeaway


Yeah

Jumpman, Jumpman, I don't need no introduction

Jumpman, Jumpman, Metro Boomin on production, wow

Hundred cousins out in Memphis they so country, wow

Tell her stay the night, valet your car, come fuck me now

Jumpman, Jumpman, live on TNT I'm flexing (ooh!)

Jumpman, Jumpman they gave me my own collection (ooh!)

Jump when I say jump, girl can you take direction? (Ooh!)

Mutombo with the bitches, you keep getting rejected (Woo!)",
36,Gnash,"I Hate U, I Love U","
I hate you, I love you

I hate that I love you

Don't want to but I can't put nobody else above you

I hate you, I love you

I hate that I want you

You want her, you need her

And I'll never be her


I miss you when I can't sleep

Or right after coffee

Or right when I can't eat

I miss you in my front seat

Still got sand in my sweaters

From nights we don't remember",
37,Alessia Cara,Here,"
Oh-oh-oh here, oh-oh-oh here

Oh-oh-oh I asked myself, what am I doin' here?

Oh-oh-oh here, oh-oh-oh here

And I can't wait 'til we can break up out of here


Excuse me if I seem a little unimpressed with this

I ain't a social pessimist, but usually I don't mess with this

And I know you mean only the best 

And your intentions aren't to bother me

But honestly I'd rather be

Somewhere with my people

We can kick it and just listen to

Some music with a message, like we usually do

And we'll discuss our big dreams

How we plan to take over the planet

So pardon my manners

I hope you'll understand that I'll be here

Not there in the kitchen

With the girl who's always gossiping about her friends

So tell them I'll be here

Right next to the boy who's throwin' up

'Cause he can't take what's in his cup no more

Oh God why am I here?",
38,Selena Gomez,Same Old Love,"
I'm so sick of that same old love, that shit, it tears me up

I'm so sick of that same old love, my body's had enough

Oh, that same old love 

Oh, that same old love

I'm so sick of that same old love, feels like I've blown apart

I'm so sick of that same old love, the kind that breaks your heart

Oh, that same old love 

Oh, that same old love


I'm not spending any time, wasting tonight on you

I know, I've heard it all

So don't you try and change your mind

'Cause I won't be changing too, you know",
39,Drake,Controlla,"
I think I'd lie for you

I think I'd die for you

Jodeci ""Cry For You""

Do things when you want me to

Like controlla, controlla

Yeah, like controlla, controlla


Yeah, okay, you like it

When I get, aggressive, tell you to

Go slower, go faster

Like controlla, controlla

Yeah, like controlla, controlla",
40,Meghan Trainor,Like I'm Gonna Lose You,"
I woke up in tears

With you by my side

A breath of relief

And I realized

No, we're not promised tomorrow


So I'm gonna love you like I'm gonna lose you

And I'm gonna hold you like I'm saying goodbye

Wherever we're standing

I won't take you for granted

'Cause we'll never know when, when we'll run out of time",
41,Charlie Puth,One Call Away,"
I'm only one call away

I'll be there to save the day

Superman got nothing on me

I'm only one call away


Come along with me and don't be scared

I just wanna set you free

C'mon, c'mon, c'mon

You and me can make it anywhere

For now, we can stay here for a while

'Cause you know, I just wanna see your smile

No matter where you go, you know you're not alone",
42,James Bay,Let It Go,"
So come on, let it go

Just let it be

Why don't you be you?

And I'll be me


Everything that's broke

Leave it to the breeze

Why don't you be you?

And I'll be me

And I'll be me",
43,Meghan Trainor,No,"
First you gonna say you ain't runnin' game

Thinkin' I'm believing every word

Call me beautiful, so original

Telling me I'm not like other girls

I was in my zone before you came along

Now I'm thinking maybe you should go

Blah, blah, blah

I be like nah to the ah to the no, no, no


All my ladies, listen up

If that boy ain't giving up

Lick your lips and swing your hips

Girl all you gotta say is...",
44,Zara Larsson,Never Forget You,"
I will never forget you

You'll always be by my side

From the day that I met you

I knew that I would love you 'till the day I die

And I will never want much more

And in my heart I will always be sure

I will never forget you

And you will always be by my side 'till the day I die


Till the day I die (tll the day I die)

Till the day I die (tll the day I die)",
45,DJ Snake,Let Me Love You,"
Say go through the darkest of days

Heaven's a heartbreak away

Never let you go, never let me down

Oh it's been a hell of a ride

Driving the edge of a knife

Never let you go, never let me down


Don't you give up, nah, nah, nah

I won't give up, nah, nah, nah

Let me love you

Let me love you

Don't you give up, nah, nah, nah

I won't give up, nah, nah, nah

Let me love you

Let me love you

Oh baby, baby",
