Song: "Heat Waves", Artist: Glass Animals
Song: "As It Was", Artist: Harry Styles
Song: "Stay", Artist: The Kid Laroi
Song: "Easy on Me", Artist: Adele
Song: "Shivers", Artist: Ed Sheeran
Song: "First Class", Artist: Jack Harlow
Song: "Big Energy", Artist: Latto
Song: "Ghost", Artist: Justin Bieber
Song: "Super Gremlin", Artist: Kodak Black
Song: "Cold Heart (Pnau Remix)", Artist: Elton John
Song: "Wait for U", Artist: Future
Song: "About Damn Time", Artist: Lizzo
Song: "Bad Habits", Artist: Ed Sheeran
Song: "Thats What I Want", Artist: Lil Nas X
Song: "Enemy", Artist: Imagine Dragons
Song: "Industry Baby", Artist: Lil Nas X
Song: "ABCDEFU", Artist: Gayle
Song: "Need to Know", Artist: Doja Cat
Song: "Wasted on You", Artist: Morgan Wallen
Song: "Me Porto Bonito", Artist: Bad Bunny
Song: "Woman", Artist: Doja Cat
Song: "Tití Me Preguntó", Artist: Bad Bunny
Song: "Running Up That Hill (A Deal with God)", Artist: Kate Bush
Song: "We Don't Talk About Bruno", Artist: Carolina Gaitán, Mauro Castillo,Adassa,Rhenzy Feliz,Diane Guerrero,Stephanie Beatriz
Song: "Late Night Talking", Artist: Harry Styles
Song: "I Like You (A Happier Song)", Artist: Post Malone
Song: "You Proof", Artist: Morgan Wallen
Song: "Bad Habit", Artist: Steve Lacy
Song: "Sunroof", Artist: Nicky Youre
Song: "One Right Now", Artist: Post Malone
Song: "Good 4 U", Artist: Olivia Rodrigo
Song: "Numb Little Bug", Artist: Em Beihold
Song: "Jimmy Cooks", Artist: Drake
Song: "'Til You Can't", Artist: Cody Johnson
Song: "Fancy Like", Artist: Walker Hayes
Song: "The Kind of Love We Make", Artist: Luke Combs
Song: "I Ain't Worried", Artist: OneRepublic
Song: "Break My Soul", Artist: Beyoncé
Song: "Something in the Orange", Artist: Zach Bryan
Song: "Save Your Tears", Artist: The Weeknd
Song: "Smokin out the Window", Artist: Silk Sonic(Bruno Mars
Song: "Levitating", Artist: Dua Lipa
Song: "In a Minute", Artist: Lil Baby
Song: "Moscow Mule", Artist: Bad Bunny
Song: "You Right", Artist: Doja Cat
Song: "She Had Me at Heads Carolina", Artist: Cole Swindell
Song: "Vegas", Artist: Doja Cat
Song: "Pushin P", Artist: Gunna
Song: "Buy Dirt", Artist: Jordan Davis
Song: "I Hate U", Artist: SZA
Song: "Boyfriend", Artist: Dove Cameron
Song: "Glimpse of Us", Artist: Joji
Song: "Surface Pressure", Artist: Jessica Darrow
Song: "Fall in Love", Artist: Bailey Zimmerman
Song: "Love Nwantiti (Ah Ah Ah)", Artist: CKay
Song: "Super Freaky Girl", Artist: Nicki Minaj
Song: "Hrs and Hrs", Artist: Muni Long
Song: "Sand in My Boots", Artist: Morgan Wallen
Song: "Mamiii", Artist: Becky G
Song: "Knife Talk", Artist: Drake
Song: "AA", Artist: Walker Hayes
Song: "Sweetest Pie", Artist: Megan Thee Stallion
Song: "Provenza", Artist: Karol G
Song: "Essence", Artist: Wizkid
Song: "All I Want for Christmas Is You", Artist: Mariah Carey
Song: "Bam Bam", Artist: Camila Cabello
Song: "5 Foot 9", Artist: Tyler Hubbard
Song: "Get Into It (Yuh)", Artist: Doja Cat
Song: "Efecto", Artist: Bad Bunny
Song: "Rock and a Hard Place", Artist: Bailey Zimmerman
Song: "Doin' This", Artist: Luke Combs
Song: "Oh My God", Artist: Adele
Song: "Better Days", Artist: Neiked,Mae Muller
Song: "Meet Me at Our Spot", Artist: The Anxiety:Willow
Song: "Fingers Crossed", Artist: Lauren Spencer-Smith
Song: "All Too Well (Taylor's Version)", Artist: Taylor Swift
Song: "Party", Artist: Bad Bunny
Song: "Después de la Playa", Artist: Bad Bunny
Song: "You Should Probably Leave", Artist: Chris Stapleton
Song: "Rockin' Around the Christmas Tree", Artist: Brenda Lee
Song: "Broadway Girls", Artist: Lil Durk
Song: "Take My Name", Artist: Parmalee
Song: "What Happened to Virgil", Artist: Lil Durk
Song: "Puffin on Zootiez", Artist: Future
Song: "Like I Love Country Music", Artist: Kane Brown
Song: "Jingle Bell Rock", Artist: Bobby Helms
Song: "Ojitos Lindos", Artist: Bad Bunny
Song: "Trouble with a Heartbreak", Artist: Jason Aldean
Song: "A Holly Jolly Christmas", Artist: Burl Ives
Song: "Kiss Me More", Artist: Doja Cat
Song: "She Likes It", Artist: Russell Dickerson
Song: "Never Say Never", Artist: Cole Swindell
Song: "Damn Strait", Artist: Scotty McCreery
Song: "She's All I Wanna Be", Artist: Tate McRae
Song: "Last Night Lonely", Artist: Jon Pardi
Song: "Flower Shops", Artist: Ernest
Song: "To the Moon", Artist: Jnr Choi
Song: "Unholy", Artist: Sam Smith
Song: "One Mississippi", Artist: Kane Brown
Song: "Circles Around This Town", Artist: Maren Morris
