Song: "Lose Control", Artist: Teddy Swims
Song: "A Bar Song (Tipsy)", Artist: Shaboozey
Song: "Beautiful Things", Artist: Benson Boone
Song: "I Had Some Help", Artist: Post Malone
Song: "Lovin on Me", Artist: Jack Harlow
Song: "Not Like Us", Artist: Kendrick Lamar
Song: "Espresso", Artist: Sabrina Carpenter
Song: "Million Dollar Baby", Artist: Tommy Richman
Song: "I Remember Everything", Artist: Zach Bryan
Song: "Too Sweet", Artist: Hozier
Song: "Stick Season", Artist: Noah Kahan
Song: "Cruel Summer", Artist: Taylor Swift
Song: "Greedy", Artist: Tate McRae
Song: "Like That", Artist: Future,Metro Boomin
Song: "Birds of a Feather", Artist: Billie Eilish
Song: "Please Please Please", Artist: Sabrina Carpenter
Song: "Agora Hills", Artist: Doja Cat
Song: "Good Luck, Babe!", Artist: Chappell Roan
Song: "Saturn", Artist: SZA
Song: "Paint the Town Red", Artist: Doja Cat
Song: "Fortnight", Artist: Taylor Swift
Song: "Fast Car", Artist: Luke Combs
Song: "Water", Artist: Tyla
Song: "Feather", Artist: Sabrina Carpenter
Song: "We Can't Be Friends (Wait for Your Love)", Artist: Ariana Gr
Song: "Austin", Artist: Dasha
Song: "Last Night", Artist: Morgan Wallen
Song: "Cowgirls", Artist: Morgan Wallen
Song: "Pink Skies", Artist: Zach Bryan
Song: "Thinkin' Bout Me", Artist: Morgan Wallen
Song: "Texas Hold 'Em", Artist: Beyoncé
Song: "Is It Over Now?", Artist: Taylor Swift
Song: "Miles on It", Artist: Marshmello
Song: "I Can Do It with a Broken Heart", Artist: Taylor Swift
Song: "Wild Ones", Artist: Jessie Murph
Song: "Ain't No Love in Oklahoma", Artist: Luke Combs
Song: "Carnival", Artist: ¥$:Ye
Song: "Houdini", Artist: Eminem
Song: "Wanna Be", Artist: GloRilla
Song: "Slow It Down", Artist: Benson Boone
Song: "Redrum", Artist: 21 Savage
Song: "Houdini", Artist: Dua Lipa
Song: "Yeah Glo!", Artist: GloRilla
Song: "Rich Baby Daddy", Artist: Drake
Song: "What Was I Made For?", Artist: Billie Eilish
Song: "End of Beginning", Artist: Djo
Song: "Lunch", Artist: Billie Eilish
Song: "Never Lose Me", Artist: Flo Milli
Song: "Lies Lies Lies", Artist: Morgan Wallen
Song: "Type Shit", Artist: Future,Metro Boomin,Travis Scott,
Song: "Gata Only", Artist: FloyyMenor
Song: "Hot to Go!", Artist: Chappell Roan
Song: "All I Want for Christmas Is You", Artist: Mariah Carey
Song: "Get It Sexyy", Artist: Sexyy Red
Song: "Made for Me", Artist: Muni Long
Song: "Vampire", Artist: Olivia Rodrigo
Song: "Whatever She Wants", Artist: Bryson Tiller
Song: "Rockin' Around the Christmas Tree", Artist: Brenda Lee
Song: "Pretty Little Poison", Artist: Warren Zeiders
Song: "First Person Shooter", Artist: Drake
Song: "Die with a Smile", Artist: Lady Gaga
Song: "I Like the Way You Kiss Me", Artist: Artemas
Song: "Need a Favor", Artist: Jelly Roll
Song: "Save Me", Artist: Jelly Roll
Song: "Euphoria", Artist: Kendrick Lamar
Song: "Truck Bed", Artist: Hardy
Song: "Jingle Bell Rock", Artist: Bobby Helms
Song: "Flowers", Artist: Miley Cyrus
Song: "Where the Wild Things Are", Artist: Luke Combs
Song: "Everybody", Artist: Nicki Minaj
Song: "La Diabla", Artist: Xavi
Song: "Stargazing", Artist: Myles Smith
Song: "Last Christmas", Artist: Wham!
Song: "I Am Not Okay", Artist: Jelly Roll
Song: "Pour Me a Drink", Artist: Post Malone
Song: "White Horse", Artist: Chris Stapleton
Song: "Lil Boo Thang", Artist: Paul Russell
Song: "Good Good", Artist: Usher,Summer Walker
Song: "Act II: Date @ 8", Artist: 4Batz
Song: "High Road", Artist: Koe Wetzel
Song: "Monaco", Artist: Bad Bunny
Song: "IDGAF", Artist: Drake
Song: "Burn It Down", Artist: Parker McCollum
Song: "FukUMean", Artist: Gunna
Song: "Taste", Artist: Sabrina Carpenter
Song: "Where It Ends", Artist: Bailey Zimmerman
Song: "FTCU", Artist: Nicki Minaj
Song: "Wildflower", Artist: Billie Eilish
Song: "World on Fire", Artist: Nate Smith
Song: "On My Mama", Artist: Victoria Monét
Song: "Yes, And?", Artist: Ariana Gr
Song: "Exes", Artist: Tate McRae
Song: "A Holly Jolly Christmas", Artist: Burl Ives
Song: "Wind Up Missin' You", Artist: Tucker Wetmore
Song: "Bulletproof", Artist: Nate Smith
Song: "Fe!n", Artist: Travis Scott
Song: "The Painter", Artist: Cody Johnson
Song: "Down Bad", Artist: Taylor Swift
Song: "Dance the Night", Artist: Dua Lipa
